Title,Date
"Peaky Blinders: Temporada 2: Episode 3",9/15/24
"Peaky Blinders: Temporada 2: Episode 4",9/15/24
"Peaky Blinders: Temporada 2: Episode 5",9/16/24
"Peaky Blinders: Temporada 2: Episode 6",9/16/24
"The Crown: Temporada 1: Wolferton Splash",10/4/24
"The Crown: Temporada 1: Hyde Park Corner",10/4/24
"The Crown: Temporada 1: Windsor",10/5/24
"The Crown: Temporada 1: Act of God",10/5/24
"The Crown: Temporada 1: Smoke and Mirrors",10/6/24
"The Crown: Temporada 1: Gelignite",10/6/24
"The Crown: Temporada 1: Scientia Potentia Est",10/12/24
"The Crown: Temporada 1: Pride and Joy",10/13/24
"The Crown: Temporada 2: Misadventure",10/19/24
"The Crown: Temporada 2: A Company of Men",10/19/24
"The Crown: Temporada 2: Lisbon",10/20/24
"El Laberinto del Fauno",11/2/24
"Roma",11/8/24
"Marriage Story",11/15/24
"The Irishman",11/22/24
"Squid Game: Temporada 1: Red Light Green Light",12/1/24
"Squid Game: Temporada 1: Hell",12/1/24
"Squid Game: Temporada 1: The Man with the Umbrella",12/1/24
"Squid Game: Temporada 1: Stick to the Team",12/2/24
"Squid Game: Temporada 1: A Fair World",12/2/24
"Squid Game: Temporada 1: Gganbu",12/2/24
"Squid Game: Temporada 1: VIPS",12/3/24
"Squid Game: Temporada 1: Front Man",12/3/24
"Squid Game: Temporada 1: One Lucky Day",12/3/24
"Squid Game: Temporada 2: Episode 1",12/28/24
"Squid Game: Temporada 2: Episode 2",12/28/24
"Squid Game: Temporada 2: Episode 3",12/29/24
"Squid Game: Temporada 2: Episode 4",12/29/24
"Squid Game: Temporada 2: Episode 5",12/30/24
"Squid Game: Temporada 2: Episode 6",12/30/24
"Squid Game: Temporada 2: Episode 7",12/31/24
